model,target_type,location,forecast_date,weights
epiforecasts-EpiNow2,Deaths,PL,2021-04-26,0.083771609570325
IEM_Health-CovidProject,Deaths,PL,2021-04-26,0.0512913027068774
ILM-EKF,Deaths,PL,2021-04-26,0.083771609570325
ITWW-county_repro,Deaths,PL,2021-04-26,0.083771609570325
LANL-GrowthRate,Deaths,PL,2021-04-26,0.083771609570325
MIMUW-StochSEIR,Deaths,PL,2021-04-26,0.0512913027068774
MIT_CovidAnalytics-DELPHI,Deaths,PL,2021-04-26,0.0512913027068774
RobertWalraven-ESG,Deaths,PL,2021-04-26,0.357165745477435
UMass-MechBayes,Deaths,PL,2021-04-26,0.0512913027068774
UMass-SemiMech,Deaths,PL,2021-04-26,0.0512913027068774
USC-SIkJalpha,Deaths,PL,2021-04-26,0.0512913027068774
bisop-seirfilter,Cases,CZ,2021-05-03,0.0807638982904566
epiforecasts-EpiNow2,Cases,CZ,2021-05-03,0.198726836182572
IEM_Health-CovidProject,Cases,CZ,2021-05-03,0.0807638982904566
ILM-EKF,Cases,CZ,2021-05-03,0.198726836182572
LANL-GrowthRate,Cases,CZ,2021-05-03,0.198726836182572
MUNI_DMS-SEIAR,Cases,CZ,2021-05-03,0.0807638982904566
UMass-SemiMech,Cases,CZ,2021-05-03,0.0807638982904566
USC-SIkJalpha,Cases,CZ,2021-05-03,0.0807638982904566
bisop-seirfilter,Deaths,CZ,2021-05-03,0.0327694315598794
epiforecasts-EpiNow2,Deaths,CZ,2021-05-03,0.0881564869923252
IEM_Health-CovidProject,Deaths,CZ,2021-05-03,0.0327694315598794
ILM-EKF,Deaths,CZ,2021-05-03,0.0881564869923252
LANL-GrowthRate,Deaths,CZ,2021-05-03,0.0881564869923252
MUNI_DMS-SEIAR,Deaths,CZ,2021-05-03,0.0327694315598794
RobertWalraven-ESG,Deaths,CZ,2021-05-03,0.538913949663748
UMass-MechBayes,Deaths,CZ,2021-05-03,0.0327694315598794
UMass-SemiMech,Deaths,CZ,2021-05-03,0.0327694315598794
USC-SIkJalpha,Deaths,CZ,2021-05-03,0.0327694315598794
epiforecasts-EpiNow2,Cases,DE,2021-05-03,0.095674557512173
FIAS_FZJ-Epi1Ger,Cases,DE,2021-05-03,0.0400566620562849
HZI-AgeExtendedSEIR,Cases,DE,2021-05-03,0.0400566620562849
IEM_Health-CovidProject,Cases,DE,2021-05-03,0.0400566620562849
ILM-EKF,Cases,DE,2021-05-03,0.095674557512173
itwm-dSEIR,Cases,DE,2021-05-03,0.0400566620562849
ITWW-county_repro,Cases,DE,2021-05-03,0.095674557512173
Karlen-pypm,Cases,DE,2021-05-03,0.0400566620562849
LANL-GrowthRate,Cases,DE,2021-05-03,0.095674557512173
MIT_CovidAnalytics-DELPHI,Cases,DE,2021-05-03,0.0400566620562849
UMass-SemiMech,Cases,DE,2021-05-03,0.0400566620562849
UNIPV-BayesINGARCHX,Cases,DE,2021-05-03,0.296848473501029
USC-SIkJalpha,Cases,DE,2021-05-03,0.0400566620562849
epiforecasts-EpiNow2,Deaths,DE,2021-05-03,0.0840105218488142
FIAS_FZJ-Epi1Ger,Deaths,DE,2021-05-03,0.0467011044913353
HZI-AgeExtendedSEIR,Deaths,DE,2021-05-03,0.0467011044913353
IEM_Health-CovidProject,Deaths,DE,2021-05-03,0.0467011044913353
ILM-EKF,Deaths,DE,2021-05-03,0.0840105218488142
itwm-dSEIR,Deaths,DE,2021-05-03,0.0467011044913353
ITWW-county_repro,Deaths,DE,2021-05-03,0.0840105218488142
Karlen-pypm,Deaths,DE,2021-05-03,0.0467011044913353
LANL-GrowthRate,Deaths,DE,2021-05-03,0.0840105218488142
MIT_CovidAnalytics-DELPHI,Deaths,DE,2021-05-03,0.0467011044913353
RobertWalraven-ESG,Deaths,DE,2021-05-03,0.243647972182726
UMass-MechBayes,Deaths,DE,2021-05-03,0.0467011044913353
UMass-SemiMech,Deaths,DE,2021-05-03,0.0467011044913353
USC-SIkJalpha,Deaths,DE,2021-05-03,0.0467011044913353
epiforecasts-EpiNow2,Cases,FR,2021-05-03,0.124952770695322
IEM_Health-CovidProject,Cases,FR,2021-05-03,0.122683809822608
